,Question,Question - Converted,Question - Converted Alternate,Format,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7,Rob Rating,Andy Rating,Extended Sentence
0,Name Something That Spies In Movies Always Carry,<MASK> is something spies in movies always carry,Spies in movies always carry <MASK>,,Weapon,34,Binoculars,20,Camera,18,Phone,9,Magnifying Glass,8,Briefcase,4,Flashlight,4,,2,"In almost every scene of the movie featuring the spy who was helping  James Bond, the spy could be seen to be carrying (a) <MASK>"
1,Name Something A Clown Might Be Carrying,<MASK> is something a clown might be carrying,A clown carries <MASK>,,Balloons,28,Pie,21,Flowers,14,Horn,12,Ball,11,Umbrella,9,handkerchief,4,1,2,"When the circus came to town and its tent was pitched, the  opening act featured an entertaining clown carrying (a) <MASK>"
2,Name Something That A Child Often Loses,<MASK> is something that a child often loses,A child often loses <MASK>,,Teeth,35,Toys,34,Money,13,Homework,7,Gloves,4,Jacket,3,Temper,3,1,2,The child's mother complained that the child was always losing <MASK> which led to a lot of aggravation for the whole family
3,Name Something People Get Trapped In,<MASK> is something people get trapped in,People get trapped in <MASK>,,Relationship,27,Elevator,16,Lies,15,Car,14,Debt,11,Traffic,5,Cave,4,2,2,A persistent problem that many people worry about is that they will get trapped in (a) <MASK>
4,Tell Me Something You'd Be Reluctant To Buy From A Rummage Sale,<MASK> is something you'd be reluctant to buy from a rummage sale,<MASK> is something you'd be reluctant to buy from a rummage sale,,Underwear,51,Shoes,12,TV,10,Food,9,Car,6,Bed,5,Computer,4,2,2,The shopper went to a rummage sale and saw <MASK> but they were reluctant to buy it because they were concerned about the quality.
5,"Name Something Specific That Takes Longer To Dry, Than To Wash.",<MASK> is something specific that takes longer to dry than to wash,<MASK> is something specific that takes longer to dry than to wash,,Hair,35,Jeans,28,Towels,14,Blankets,11,Car,4,Dishes,4,Dog,3,2,2,The home owner was noticing that when they were washing <MASK> that it always took them longer to wash than to dry.
6,"We Asked 100 Women: When You Should Be Focusing On Romance, Name Something Your Mind Is Often Distracted By Instead?","We asked 100 women: when you should be focusing on romance, <MASK> is something your mind is often distracted by instead","We asked 100 women: when you should be focusing on romance, your mind is often distracted by <MASK>",,Job,40,Kids,19,Bills,16,Eating,10,Other Men,5,Tv,5,House,3,2,2,The woman was on a  date but even though she wanted to focus on the evening's romance she found that her mind kept being distracted by thoughts about (the) <MASK>.
7,Name Something You Wouldn't Miss About Daily Life If You Were Stranded On A Desert Island.,<MASK> is something you wouldn't miss about daily life if you were stranded on a desert island,"If you were stranded on a desert island, you wouldn't miss <MASK> from daily life",,Work,27,TV,20,Traffic,12,Bills,12,Telephone,10,People,8,Housework,5,2,2,"The cruise passenger got stranded on a desert island after a terrible storm at sea.  They missed many things about their daily life, but one thing that they did not miss at all was (the) <MASK>"
8,"Besides Alcohol, Drugs, Or Tobacco, Name Something That People Get Addicted To.","Besides alcohol, drugs, and tobacco, <MASK> is something that people get addicted to","Besides alcohol, drugs, and tobacco, people get addicted to <MASK>",,Love,24,Gambling,20,Coffee,18,Eating,12,TV,11,Chocolate,7,Internet,6,2,2,"The man had a terrible addiction.  It wasn't the typical addiction -- to alcohol, tobacco, or drugs.  He could not resist the tempation of (the) <MASK> "
9,"When You Don't Want To Get Out Of Bed In The Morning, Name Something That Gets You Up Anyway","When you don't want to get out of bed in the morning, <MASK> is something that gets you up anyways","When you don't want to get out of bed in the morning, <MASK> gets you up anyways",,Alarm,35,Kids,31,Work,16,Pet,5,Hunger,4,Sunlight,4,Phone,3,2,2,"The woman was comfortably lying in bed on a winter morning.  She dearly wanted to stay in bed, but the thought of (the) <MASK> got her out bed and made her start her day."
